Name,Sig. Str. By Position - Standing,Sig. Str. By Position - Clinch,Sig. Str. By Position - Ground,Win by Method - KO/TKO,Win by Method - DEC,Win by Method - SUB,Status,Place of Birth,Trains at,Fighting style,Age,Height,Weight,Octagon Debut,Reach,Leg reach,Weight Class,gender
Peter Petties,16 (80%),4 (20%),0 (0%),3 (60%),2 (40%),0 (0%),Active,"New Brunswick, United States",,,32,69.00,142.00,"Aug. 8, 2017",,,Featherweight Division,man
Ivana Petrovic,16 (73%),4 (18%),2 (9%),3 (50%),1 (17%),2 (33%),Active,"Konstanz, Germany",,MMA,29,68.00,125.50,"Jul. 1, 2023",70.00,40.00,Women's Flyweight Division,women
Armen Petrosyan,350 (89%),24 (6%),20 (5%),6 (67%),3 (33%),0 (0%),Active,"Krasnoyarsk, Russia",,Muay Thai,33,75.00,194.00,"Feb. 26, 2022",71.00,42.00,Middleweight Division,man
Andre Petroski,138 (63%),6 (3%),74 (34%),4 (50%),0 (0%),4 (50%),Active,United States,Daniel Gracie Team,Freestyle,32,72.00,186.00,"Aug. 28, 2021",73.00,39.00,Middleweight Division,man
Vitor Petrino,115 (72%),3 (2%),42 (26%),7 (78%),2 (22%),0 (0%),Active,"Santa Luzia, Brazil",,Striker,26,74.00,205.50,"Dec. 17, 2022",77.50,42.50,Light Heavyweight Division,man
Thomas Petersen,58 (73%),6 (8%),16 (20%),7 (88%),0 (0%),1 (13%),Active,United States,,Boxer,28,73.00,258.00,"Feb. 3, 2024",74.00,40.00,Heavyweight Division,man
Ailin Perez,32 (27%),23 (19%),63 (53%),4 (44%),4 (44%),1 (11%),Active,Argentina,"MMA Masters - Miami, FL",Kung Fu,29,65.00,148.00,"Sep. 3, 2022",66.00,36.00,Women's Bantamweight Division,women
Alex Perez,201 (67%),45 (15%),55 (18%),5 (21%),12 (50%),7 (29%),Active,"Hanford, United States",Syndicate MMA,Freestyle,31,66.00,125.50,"Aug. 8, 2017",65.50,38.00,Flyweight Division,man
Michel Pereira,461 (84%),68 (12%),20 (4%),11 (38%),10 (34%),8 (28%),Active,"Marabá, Brazil",Overcome Academy,Striker,30,73.00,207.00,"May. 18, 2019",73.00,42.00,Middleweight Division,man
Alex Pereira,323 (82%),54 (14%),15 (4%),7 (88%),1 (13%),0 (0%),Active,"São Bernardo do Campo, Brazil","Teixeira MMA & Fitness-Bethel, CT",Kickboxer,36,76.00,204.00,"Nov. 6, 2021",79.00,44.00,Light Heavyweight Division,man
Raquel Pennington,646 (59%),354 (32%),101 (9%),1 (6%),12 (71%),4 (24%),Active,"Colorado Springs, United States",Colorado Springs BJJ,Freestyle,35,67.00,134.80,"Dec. 1, 2013",67.50,37.00,Women's Bantamweight Division,women
Jessica Penne,256 (74%),53 (15%),36 (10%),2 (14%),4 (29%),8 (57%),Active,"Newport Beach, United States",Alliance MMA - Chula Vista,Grappler,40,65.00,116.00,"Dec. 12, 2014",67.00,38.00,Women's Strawweight Division,women
Feng Pengchao,0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),Active,"Hebei, China",,,23,,146.00,"Mar. 13, 2024",,,Featherweight Division,man
Matěj Peňáz,1 (100%),0 (0%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,,,,26,,185.00,"Mar. 13, 2024",,,Middleweight Division,man
Julianna Peña,210 (54%),63 (16%),119 (30%),3 (25%),3 (25%),6 (50%),Active,"Spokane, United States","Sik-Jitsu Spokane, WA",Jiu-Jitsu,34,66.00,134.50,"Dec. 1, 2013",69.00,39.00,Women's Bantamweight Division,women
Trevor Peek,147 (68%),39 (18%),31 (14%),8 (100%),0 (0%),0 (0%),Active,"Scottsboro, United States",,,28,69.00,171.60,"Feb. 25, 2023",70.00,41.50,Lightweight Division,man
Tyson Pedro,172 (75%),38 (17%),19 (8%),5 (50%),0 (0%),5 (50%),Not Fighting,"Sydney, Australia","Lions High Performance Centre - Sydney, Australia",MMA,32,75.00,205.50,"Nov. 26, 2016",79.00,43.50,Light Heavyweight Division,man
Jonathan Pearce,238 (53%),100 (22%),107 (24%),9 (64%),3 (21%),2 (14%),Active,"Johnson City, United States","Fight Ready - Scottsdale, AZ",MMA,31,72.00,155.00,"Oct. 18, 2019",71.00,40.00,Featherweight Division,man
Sergei Pavlovich,98 (67%),18 (12%),30 (21%),15 (83%),3 (17%),0 (0%),Active,Russia,,MMA,31,75.00,259.80,"Nov. 24, 2018",84.00,45.00,Heavyweight Division,man
Thomas Paull,11 (100%),0 (0%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"Lambeth, United Kingdom",,,28,,155.50,"Mar. 12, 2024",,,Lightweight Division,man
Zac Pauga,124 (71%),49 (28%),2 (1%),2 (33%),4 (67%),0 (0%),Not Fighting,"Denver, United States","Elevation Fight Team - Denver, CO",MMA,35,74.00,206.00,"Aug. 6, 2022",76.00,41.00,Light Heavyweight Division,man
Sam Patterson,28 (88%),4 (13%),0 (0%),4 (36%),1 (9%),6 (55%),Active,"Watford, United Kingdom",,MMA,27,75.00,180.00,"Mar. 18, 2023",78.00,42.99,Welterweight Division,man
Wendri Patilima,0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),Active,,,,29,,155.00,"Mar. 13, 2024",,,Lightweight Division,man
Jhonoven Pati,12 (75%),3 (19%),1 (6%),0 (0 %),0 (0 %),0 (0 %),Active,,,,32,,186.00,"Mar. 13, 2024",,,Middleweight Division,man
Billy Pasulatan,2 (100%),0 (0%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"Kaima, Indonesia",,,31,,125.50,"Mar. 13, 2024",,,Flyweight Division,man
Preston Parsons,115 (61%),25 (13%),47 (25%),0 (0%),2 (18%),9 (82%),Active,"Jacksonville, United States",,MMA,28,71.00,170.50,"Jul. 17, 2021",71.00,41.00,Welterweight Division,man
Jonny Parsons,103 (89%),8 (7%),5 (4%),7 (78%),2 (22%),0 (0%),Active,"Biloxi, United States",,Muay Thai,32,69.00,171.00,"Jul. 22, 2023",69.00,40.00,Welterweight Division,man
Mick Parkin,131 (93%),7 (5%),3 (2%),5 (63%),2 (25%),1 (13%),Active,"Sunderland, United Kingdom",,MMA,28,76.00,265.00,"Jul. 22, 2023",79.00,43.00,Heavyweight Division,man
HyunSung Park,93 (77%),8 (7%),20 (17%),4 (44%),1 (11%),4 (44%),Active,South Korea,"Tiger Muay Thai - Phuket, Thailand",MMA,28,67.00,137.60,"Jun. 10, 2022",66.00,36.50,Flyweight Division,man
Junyong Park,418 (80%),43 (8%),59 (11%),5 (29%),6 (35%),6 (35%),Active,"Seoul, South Korea",,Boxing,32,70.00,192.00,"Aug. 31, 2019",73.00,39.00,Middleweight Division,man
Jae Hyun Park,0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),Active,South Korea,,,21,,168.60,"Mar. 13, 2024",,,Lightweight Division,man
Josh Parisian,240 (69%),74 (21%),33 (10%),11 (73%),2 (13%),2 (13%),Active,"Martinsburg, United States",,Striker,34,76.00,266.00,"Nov. 28, 2020",79.00,43.00,Heavyweight Division,man
Kathryn Paprocki,11 (73%),4 (27%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"Oberlin, United States",,,30,63.00,115.50,"Mar. 13, 2024",63.00,36.00,Women's Strawweight Division,women
Alexandre Pantoja,593 (81%),77 (10%),66 (9%),8 (30%),9 (33%),10 (37%),Active,"Rio de Janeiro, Brazil",American Top Team,MMA,33,65.00,125.00,"Jan. 29, 2017",67.00,36.50,Flyweight Division,man
Rick Palacios,115 (99%),1 (1%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"McAllen, United States",,,35,66.00,146.00,"Mar. 12, 2024",,,Featherweight Division,man
Luis Pajuelo,13 (38%),4 (12%),17 (50%),0 (0 %),0 (0 %),0 (0 %),Active,,,,28,,145.50,"Mar. 23, 2024",,,Featherweight Division,man
Dinis Paiva,34 (87%),1 (3%),4 (10%),0 (0 %),0 (0 %),0 (0 %),Active,"Providence, United States",,,35,,145.50,"Mar. 13, 2024",,,Featherweight Division,man
Michael Page,45 (74%),3 (5%),13 (21%),13 (62%),5 (24%),3 (14%),Active,"England, United Kingdom",,,36,75.00,170.00,"Mar. 9, 2024",79.00,,Welterweight Division,man
Fernando Padilla,84 (91%),7 (8%),1 (1%),4 (29%),2 (14%),8 (57%),Active,"Chihuahua, Mexico",,MMA,26,73.00,145.50,"Apr. 29, 2023",75.98,,Featherweight Division,man
Angel Pacheco,163 (83%),34 (17%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"Willmar, United States",,,32,,144.50,"Mar. 30, 2024",,,Bantamweight Division,man
Sidney Outlaw,2 (100%),0 (0%),0 (0%),1 (13%),4 (50%),3 (38%),Active,"Philadelphia, United States",,,31,68.00,171.00,"Jul. 18, 2017",74.00,,Welterweight Division,man
Ode' Osbourne,179 (87%),10 (5%),16 (8%),5 (45%),2 (18%),4 (36%),Active,"Kingston, Jamaica",,Striker,31,67.00,140.00,"Jul. 16, 2019",73.00,39.00,Flyweight Division,man
Brian Ortega,542 (87%),48 (8%),34 (5%),3 (19%),5 (31%),8 (50%),Active,"Carson, United States",Team Ortega,Striker,33,68.00,146.00,"Jul. 26, 2014",69.00,39.00,Featherweight Division,man
Myktybek Orolbai,1 (100%),0 (0%),0 (0%),4 (50%),3 (38%),1 (13%),Active,Kyrgyzstan,,,25,,,"Nov. 18, 2023",,,Welterweight Division,man
David Onama,224 (80%),25 (9%),30 (11%),7 (64%),0 (0%),4 (36%),Active,Uganda,Factory X,Striker,29,71.00,159.60,"Oct. 23, 2021",74.00,40.00,Featherweight Division,man
Ravena Oliveira,13 (87%),2 (13%),0 (0%),4 (40%),5 (50%),1 (10%),Active,Brazil,,Striker,26,65.00,140.00,"Oct. 14, 2023",,,Women's Bantamweight Division,women
Vinicius Oliveira,78 (81%),3 (3%),15 (16%),16 (80%),2 (10%),2 (10%),Active,"Porto Alegre, Brazil",,MMA,28,69.00,135.50,"Mar. 2, 2024",70.50,39.00,Bantamweight Division,man
Charles Oliveira,444 (57%),160 (21%),173 (22%),10 (29%),3 (9%),21 (62%),Active,"State of São Paulo, Brazil",Bronx's Gold Team,Jiu-Jitsu,34,70.00,154.00,"Aug. 1, 2010",74.00,41.00,Lightweight Division,man
Bruno Oliveira,7 (100%),0 (0%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,,,,39,,203.00,"Mar. 13, 2024",,,Light Heavyweight Division,man
Saimon Oliveira,89 (85%),13 (12%),3 (3%),5 (28%),2 (11%),11 (61%),Active,"Cocal do Sul, Brazil",,Striker,32,64.00,136.00,"Jan. 22, 2022",72.00,38.00,Bantamweight Division,man
Michal Oleksiejczuk,320 (79%),20 (5%),67 (16%),14 (74%),4 (21%),1 (5%),Active,"Wlodawa, Poland",Ankos MMA Poznan,MMA,29,72.00,195.40,"Dec. 30, 2017",74.00,40.00,Middleweight Division,man
Bolaji Oki,87 (95%),1 (1%),4 (4%),5 (63%),2 (25%),1 (13%),Active,"Brussels, Belgium",,MMA,28,70.00,168.00,"Feb. 10, 2024",73.00,41.00,Lightweight Division,man
JJ Okanovich,86 (83%),2 (2%),16 (15%),0 (0 %),0 (0 %),0 (0 %),Active,"San Jose, United States",,,32,,155.00,"Mar. 12, 2024",,,Lightweight Division,man
Trey Ogden,195 (92%),14 (7%),3 (1%),0 (0%),5 (31%),11 (69%),Active,"Independence, United States",Marathon MMA,Jiu-Jitsu,34,71.00,169.00,"Apr. 16, 2022",72.00,41.00,Lightweight Division,man
Volkan Oezdemir,460 (76%),85 (14%),60 (10%),12 (71%),4 (24%),1 (6%),Active,"Fribourg, Switzerland",Allstars Training Center,Striker,34,74.00,205.00,"Feb. 5, 2017",75.00,40.50,Light Heavyweight Division,man
Christian Ocon,22 (85%),4 (15%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"Houston, United States",,MMA,27,68.00,136.00,"Mar. 12, 2024",69.00,,Bantamweight Division,man
Casey O'Neill,456 (80%),26 (5%),87 (15%),3 (33%),4 (44%),2 (22%),Active,"Irvine, United Kingdom",,MMA,26,66.00,125.00,"Feb. 20, 2021",69.00,37.00,Women's Flyweight Division,women
Sean O'Malley,935 (94%),21 (2%),35 (4%),12 (67%),5 (28%),1 (6%),Active,"Helena, United States","MMA LAB - Glendale, AZ",,29,71.00,135.00,"Jul. 18, 2017",72.00,40.00,Bantamweight Division,man
Kennedy Nzechukwu,407 (76%),66 (12%),62 (12%),8 (73%),3 (27%),0 (0%),Active,United States,Fortis MMA,Wrestler,31,77.00,220.00,"Aug. 22, 2017",83.00,47.00,Light Heavyweight Division,man
Said Nurmagomedov,194 (74%),44 (17%),25 (10%),4 (11%),27 (73%),6 (16%),Active,"Dagestan Republic, Russia","Xtreme Couture - Las Vegas, NV",MMA,31,68.00,136.00,"Jul. 14, 2018",70.00,38.50,Bantamweight Division,man
Umar Nurmagomedov,90 (41%),11 (5%),120 (54%),1 (1%),92 (92%),7 (7%),Active,"Republic of Dagestan, Russia",,MMA,28,68.00,136.00,"Jan. 20, 2021",69.00,39.00,Bantamweight Division,man
Abubakar Nurmagomedov,119 (89%),13 (10%),1 (1%),6 (35%),7 (41%),4 (24%),Active,"Republic of Dagestan, Russia",,,33,71.00,170.00,"Nov. 9, 2019",72.00,39.50,Welterweight Division,man
Josiane Nunes,206 (82%),39 (15%),7 (3%),7 (70%),3 (30%),0 (0%),Active,"Curitiba, Brazil",,Muay Thai,30,62.00,145.50,"Apr. 17, 2021",67.00,37.00,Women's Bantamweight Division,women
Istela Nunes,167 (88%),21 (11%),1 (1%),2 (33%),4 (67%),0 (0%),Active,"Pau dos Ferros, Brazil",American Top Team,Striker,31,64.00,115.50,"Oct. 16, 2021",66.00,37.00,Women's Strawweight Division,women
Shayilan Nuerdanbieke,71 (60%),7 (6%),40 (34%),19 (49%),10 (26%),10 (26%),Active,"Yili, China",Sanford MMA,Wrestler,29,68.00,146.00,"May. 22, 2021",69.00,36.00,Featherweight Division,man
Taiyilake Nueraji,0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),Active,China,,,22,,170.50,"Mar. 13, 2024",,,Welterweight Division,man
Shohei Nose,35 (76%),9 (20%),2 (4%),0 (0 %),0 (0 %),0 (0 %),Active,,,,25,,136.00,"Jun. 10, 2022",,,Bantamweight Division,man
Tom Nolan,20 (80%),1 (4%),4 (16%),4 (67%),2 (33%),0 (0%),Active,Australia,,,23,75.00,155.00,"Jan. 13, 2024",73.00,43.00,Lightweight Division,man
Kyle Noblitt,,,,,,,Active,"Springfield, United States",,,33,,,"Mar. 13, 2024",,,Heavyweight Division,man
Chidi Njokuani,123 (53%),70 (30%),39 (17%),14 (64%),7 (32%),1 (5%),Active,"Dallas, United States",,MMA,34,75.00,194.40,"Feb. 5, 2022",80.00,45.00,Middleweight Division,man
Matheus Nicolau,320 (86%),4 (1%),46 (12%),5 (26%),9 (47%),5 (26%),Active,"Belo Horizonte, Brazil",Nova Uniao - Rio de Janeiro,Boxing,31,66.00,126.00,"Nov. 7, 2015",66.00,38.00,Flyweight Division,man
Bo Nickal,7 (47%),1 (7%),7 (47%),1 (20%),0 (0%),4 (80%),Active,"Rifle, United States",,Wrestler,27,73.00,197.00,"Mar. 4, 2023",76.00,42.00,Middleweight Division,man
Steven Nguyen,315 (98%),2 (1%),4 (1%),0 (0 %),0 (0 %),0 (0 %),Active,"Wichita, United States",,,30,71.00,145.50,"Mar. 23, 2024",73.00,40.00,Featherweight Division,man
Journey Newson,128 (91%),4 (3%),9 (6%),3 (30%),4 (40%),3 (30%),Active,"Hayward, United States",,Brazilian Jiu-Jitsu,34,65.00,135.50,"Jun. 29, 2019",67.50,35.00,Bantamweight Division,man
Nick Newell,52 (98%),1 (2%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"Milford, United States",,,37,70.00,155.30,"Mar. 12, 2024",,,Lightweight Division,man
Eduardo Neves,33 (83%),3 (8%),4 (10%),0 (0 %),0 (0 %),0 (0 %),Active,,,,23,,265.00,"Mar. 13, 2024",,,Heavyweight Division,man
Kyle Nelson,270 (85%),43 (14%),3 (1%),5 (36%),5 (36%),4 (29%),Active,"Huntsville, Canada",House of Champions,Jiu-Jitsu,32,71.00,161.20,"Dec. 8, 2018",71.00,41.00,Featherweight Division,man
Gunnar Nelson,146 (53%),24 (9%),107 (39%),4 (20%),3 (15%),13 (65%),Active,"Akureyri, Iceland","Mjölnir, Reykjavik Iceland",Grappler,34,71.00,170.00,"Sep. 29, 2012",72.00,39.50,Welterweight Division,man
Nair Nelikyan,0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),Active,,,,26,,,"Mar. 13, 2024",,,Lightweight Division,man
Nicolae Negumereanu,155 (74%),49 (23%),6 (3%),8 (62%),2 (15%),3 (23%),Active,"Brasov, Romania",,Wrestler,28,72.50,206.00,"Mar. 16, 2019",78.00,40.00,Light Heavyweight Division,man
Geoff Neal,533 (81%),74 (11%),47 (7%),9 (60%),4 (27%),2 (13%),Active,"Austin, United States",Fortis MMA,Striker,33,71.00,170.50,"Feb. 18, 2018",75.00,41.00,Welterweight Division,man
Nasrudin Nasrudinov,4 (57%),0 (0%),3 (43%),0 (0 %),0 (0 %),0 (0 %),Active,,,,31,72.00,206.00,"Mar. 12, 2024",71.50,41.50,Light Heavyweight Division,man
Rodrigo Nascimento,223 (83%),31 (11%),16 (6%),2 (20%),2 (20%),6 (60%),Active,Brazil,American Top Team,Jiu-Jitsu,31,74.00,264.00,"Jul. 30, 2019",80.00,43.00,Heavyweight Division,man
Allan Nascimento,114 (74%),12 (8%),29 (19%),2 (11%),4 (21%),13 (68%),Active,"São Paulo, Brazil",Chute Boxe,Striker,31,68.50,125.50,"Oct. 30, 2021",69.50,37.50,Flyweight Division,man
Rose Namajunas,557 (79%),52 (7%),97 (14%),2 (17%),4 (33%),6 (50%),Active,"Milwaukee, United States",Grudge Training Center,MMA,31,65.00,135.00,"Dec. 12, 2014",65.00,39.50,Women's Flyweight Division,women
Rinya Nakamura,58 (45%),4 (3%),66 (52%),5 (63%),2 (25%),1 (13%),Active,Japan,,Wrestler,28,67.00,146.00,"Jun. 10, 2022",68.50,37.00,Bantamweight Division,man
Muhammad Naimov,80 (62%),31 (24%),18 (14%),6 (60%),2 (20%),2 (20%),Active,Tajikistan,,MMA,29,69.00,158.00,"Jun. 3, 2023",70.00,39.50,Featherweight Division,man
Liang Na,23 (68%),9 (26%),2 (6%),7 (41%),0 (0%),10 (59%),Active,"Heilongjiang, China",UFC Performance Institute Shanghai,Grappler,27,65.00,115.00,"Apr. 24, 2021",67.00,38.00,Women's Strawweight Division,women
Max Mustaki,38 (93%),0 (0%),3 (7%),0 (0 %),0 (0 %),0 (0 %),Active,"Sumter, United States",,,35,72.00,155.80,"Mar. 12, 2024",,,Lightweight Division,man
Azamat Murzakanov,121 (66%),14 (8%),48 (26%),9 (75%),2 (17%),1 (8%),Active,"Nalchik, Russia",,MMA,34,70.00,205.00,"Nov. 20, 2021",71.50,41.00,Light Heavyweight Division,man
Jesse Murray,4 (100%),0 (0%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"Toledo, United States",,,30,75.00,203.00,"Mar. 13, 2024",78.00,42.00,Light Heavyweight Division,man
Lauren Murphy,594 (72%),125 (15%),107 (13%),8 (53%),6 (40%),1 (7%),Active,"Anchorage, United States","MMA LAB - Glendale, AZ",MMA,39,65.00,125.50,"Aug. 16, 2014",67.00,38.00,Women's Flyweight Division,women
Lerone Murphy,165 (65%),34 (13%),55 (22%),7 (58%),5 (42%),0 (0%),Active,"Manchester, United Kingdom",All Powers Gym,Kickboxer,32,69.00,146.00,"Sep. 7, 2019",73.50,39.00,Featherweight Division,man
Kanako Murata,33 (38%),5 (6%),48 (56%),2 (17%),6 (50%),4 (33%),Active,Japan,,,30,61.00,114.50,"Nov. 14, 2020",62.00,34.00,Women's Strawweight Division,women
Makhmud Muradov,302 (91%),19 (6%),12 (4%),17 (68%),5 (20%),3 (12%),Active,Tajikistan,Czech Monster Gym,MMA,33,74.00,198.40,"Sep. 28, 2019",75.50,45.00,Middleweight Division,man
Olivier Murad,33 (85%),5 (13%),1 (3%),0 (0 %),0 (0 %),0 (0 %),Active,"Queens, United States",,,29,,146.00,"Mar. 12, 2024",,,Featherweight Division,man
Johnny Munoz,125 (74%),26 (15%),17 (10%),2 (17%),3 (25%),7 (58%),Active,"Corona, United States",,Freestyle,30,69.00,136.00,"Aug. 1, 2020",71.00,38.00,Bantamweight Division,man
Alexander Munoz,167 (75%),14 (6%),41 (18%),2 (33%),3 (50%),1 (17%),Active,United States,Team Alpha Male,,33,69.00,155.50,"Aug. 8, 2020",72.00,39.00,Lightweight Division,man
Andre Muniz,148 (78%),11 (6%),30 (16%),4 (8%),32 (63%),15 (29%),Active,"Montes Claros, Brazil",TATA Fight Team - Rio de Janeiro,MMA,33,73.00,199.00,"Nov. 16, 2019",78.00,43.00,Middleweight Division,man
Pedro Munhoz,1158 (92%),56 (4%),49 (4%),5 (26%),6 (32%),8 (42%),Active,Brazil,Black House MMA,Muay Thai,37,66.00,135.00,"Feb. 22, 2014",64.50,36.50,Bantamweight Division,man
Jamie Mullarkey,375 (85%),42 (10%),25 (6%),10 (63%),3 (19%),3 (19%),Active,"Central Coast, Australia",Central Coast MMA,Freestyle,29,72.00,170.00,"Oct. 5, 2019",74.00,39.00,Lightweight Division,man
Belal Muhammad,1008 (86%),54 (5%),111 (9%),5 (23%),16 (73%),1 (5%),Active,"Chicago, United States","Roufusport, (Mikwaukee, WI) & Chicago Fight Team (Chicago, IL)",,35,71.00,169.50,"Jul. 7, 2016",72.00,40.00,Welterweight Division,man
Sumudaerji,172 (72%),16 (7%),50 (21%),13 (81%),2 (13%),1 (6%),Active,"Sichuan, China",Team Alpha Male,Striker,28,68.00,136.00,"Mar. 13, 2024",72.00,38.50,Bantamweight Division,man
Eduarda Moura,6 (10%),1 (2%),56 (89%),3 (33%),1 (11%),5 (56%),Active,"Riachuelo, Brazil",,Jiu-Jitsu,29,66.00,130.90,"Nov. 4, 2023",67.00,37.50,Women's Strawweight Division,women
Nikolas Motta,107 (83%),0 (0%),22 (17%),10 (71%),4 (29%),0 (0%),Active,"Governador Valadares, Brazil","Xtreme Couture - Las Vegas, NV",Kickboxer,30,69.00,155.50,"Sep. 18, 2021",70.50,37.00,Lightweight Division,man
Sergey Morozov,147 (79%),17 (9%),23 (12%),8 (44%),7 (39%),3 (17%),Active,Kazakhstan,American Top Team,,34,66.00,136.00,"Oct. 24, 2020",67.00,37.00,Bantamweight Division,man
Maryna Moroz,539 (81%),58 (9%),65 (10%),1 (9%),4 (36%),6 (55%),Active,"Volnogorsk, Ukraine",Floid Dnepropetrovsk,Boxing,32,67.00,135.00,"Apr. 11, 2015",67.00,37.00,Women's Flyweight Division,women
Alex Morono,965 (87%),90 (8%),53 (5%),6 (26%),10 (43%),7 (30%),Active,"Houston, United States",Gracie Barra The Woodlands,Kickboxer,32,71.00,169.50,"Jan. 3, 2016",72.00,39.00,Welterweight Division,man
Brandon Moreno,856 (86%),56 (6%),87 (9%),5 (24%),5 (24%),11 (52%),Active,"Tijuana, Mexico",,Jiu-Jitsu,30,67.00,136.00,"Oct. 2, 2016",70.00,38.00,Flyweight Division,man
Gisele Moreira,81 (91%),4 (4%),4 (4%),0 (0 %),0 (0 %),0 (0 %),Active,"State of Santa Catarina, Brazil",,,42,66.00,135.00,"Mar. 12, 2024",,,Women's Bantamweight Division,women
Michael Morales,259 (81%),23 (7%),36 (11%),11 (69%),4 (25%),1 (6%),Active,"Pasaje, Ecuador",,Striker,24,72.00,184.00,"Jan. 22, 2022",79.00,41.00,Welterweight Division,man
Jeffrey Molina,295 (80%),32 (9%),41 (11%),4 (40%),2 (20%),4 (40%),Active,United States,Glory MMA & Fitness,MMA,25,66.50,125.50,"Apr. 24, 2021",69.00,37.00,Flyweight Division,man
Muhammad Mokaev,74 (66%),5 (4%),33 (29%),2 (17%),4 (33%),6 (50%),Active,,,Wrestler,23,67.00,125.00,"Mar. 19, 2022",70.00,38.00,Flyweight Division,man
Thiago Moisés,236 (75%),22 (7%),57 (18%),3 (18%),7 (41%),7 (41%),Active,"Campinas, Brazil",American Top Team,MMA,28,69.00,155.50,"Nov. 10, 2018",70.50,39.00,Lightweight Division,man
Renato Moicano,554 (89%),19 (3%),51 (8%),0 (0%),8 (44%),10 (56%),Active,"Brasilia, Brazil",American Top Team,Jiu-Jitsu,34,71.00,156.00,"Dec. 20, 2014",72.00,42.50,Lightweight Division,man
Terrence Mitchell,6 (67%),2 (22%),1 (11%),8 (53%),1 (7%),6 (40%),Active,"Anchorage, United States",,MMA,33,70.00,142.00,"Jul. 8, 2023",74.00,41.00,Bantamweight Division,man
Bryce Mitchell,119 (50%),10 (4%),111 (46%),0 (0%),7 (44%),9 (56%),Active,"Texarkana, United States",,MMA,29,70.00,145.50,"Jul. 6, 2018",70.00,40.00,Featherweight Division,man
Martin Mishtaku,,,,,,,Active,,,,36,,224.00,"Mar. 12, 2024",,,,man
Toby Misech,49 (100%),0 (0%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"Hilo, United States",,,25,68.00,145.50,"Mar. 13, 2024",,,Featherweight Division,man
Gabriel Miranda,19 (86%),3 (14%),0 (0%),1 (6%),0 (0%),16 (94%),Active,"Telêmaco Borba, Brazil",,Grappler,33,71.00,155.50,"Sep. 3, 2022",71.00,39.00,Featherweight Division,man
Stipe Miocic,689 (71%),117 (12%),164 (17%),15 (75%),5 (25%),0 (0%),Active,"Euclid, United States",Strongstyle Fight Team,,41,77.00,234.00,"Oct. 9, 2011",80.00,39.00,Heavyweight Division,man
Zhang Mingyang,44 (85%),0 (0%),8 (15%),11 (65%),0 (0%),6 (35%),Active,"Fuyang, China",,MMA,25,74.00,204.50,"Jun. 9, 2022",,,Light Heavyweight Division,man
Jim Miller,865 (70%),190 (15%),178 (14%),7 (19%),10 (27%),20 (54%),Active,"Newton, United States","Miller Brothers MMA- Sparta, NJ",Jiu-Jitsu,40,68.00,155.50,"Oct. 18, 2008",71.00,40.00,Lightweight Division,man
Mo Miller,22 (79%),0 (0%),6 (21%),0 (0 %),0 (0 %),0 (0 %),Active,"Plainfield, United States",,,30,68.00,135.50,"Mar. 13, 2024",72.50,40.00,Bantamweight Division,man
Juliana Miller,65 (60%),17 (16%),26 (24%),1 (25%),0 (0%),3 (75%),Active,"San Diego, United States",10th Planet Jiu-Jitsu,MMA,27,67.00,125.50,"Aug. 6, 2022",66.00,37.00,Women's Flyweight Division,women
Alonzo Menifield,303 (69%),67 (15%),66 (15%),10 (67%),2 (13%),3 (20%),Active,"Los Angeles, United States",,Freestyle,36,72.00,204.50,"Jan. 19, 2019",76.00,41.00,Light Heavyweight Division,man
Mateus Mendonça,41 (69%),6 (10%),12 (20%),3 (30%),3 (30%),4 (40%),Active,"Pindaré Mirim, Brazil",Chute Boxe,Jiu-Jitsu,25,66.00,137.60,"Jan. 14, 2023",71.50,39.00,Flyweight Division,man
Dominik Melendez,,,,,,,Active,,,,,,,"Mar. 13, 2024",,,,man
Gerald Meerschaert,404 (78%),62 (12%),51 (10%),6 (17%),2 (6%),27 (77%),Active,"Racine, United States",Sanford MMA,Freestyle,36,73.00,185.00,"Dec. 10, 2016",77.50,40.00,Middleweight Division,man
Uroš Medić,126 (59%),26 (12%),61 (29%),7 (78%),0 (0%),2 (22%),Active,"Novi Sad, Serbia",Kings MMA,MMA,30,73.00,185.00,"Mar. 6, 2021",71.00,43.00,Welterweight Division,man
